age,annual_income,purchase_frequency,average_basket_value,discount_usage_rate,online_purchase_share,recency_days,customer_segment
57,207779.25,45,4205.75,0.68,0.6,86,2
69,201990.35,59,4307.94,0.95,0.87,25,2
33,910484.02,20,3766.94,0.14,0.89,2,3
30,1298311.5,97,2252.13,0.38,0.45,119,1
67,1960457.43,66,3091.68,0.55,0.46,86,2
59,1755744.14,52,885.79,0.08,0.08,5,3
47,1197871.36,34,3400.86,0.0,0.67,4,3
36,793022.67,16,978.34,0.67,0.82,36,0
34,2493242.58,39,3500.35,0.64,0.24,6,0
73,1151526.06,15,1225.03,0.41,0.42,116,3
36,1210759.51,68,676.0,0.49,0.84,21,0
45,534515.98,54,909.89,0.42,0.88,77,0
75,2017802.44,89,109.76,0.02,0.24,118,3
72,1780153.23,25,3621.82,0.34,0.55,101,3
43,668808.59,73,3688.77,0.18,0.19,119,1
54,343595.46,52,2623.17,0.1,0.1,89,1
43,1749173.36,24,890.68,0.96,0.91,26,0
70,1688101.35,71,509.42,0.6,0.82,55,3
40,792159.89,48,193.73,0.73,0.76,39,0
26,2384529.37,37,912.17,0.32,0.05,84,0
29,504986.05,77,4465.19,0.39,0.84,33,1
70,1165986.78,65,1283.53,0.24,0.44,14,3
18,2367497.41,13,1835.93,0.1,0.34,56,0
75,1136359.19,72,616.19,0.18,0.55,100,3
75,1650535.98,39,1189.57,0.8,0.09,81,2
18,1084346.84,85,2644.2,0.68,0.76,21,0
64,794405.73,92,3077.99,0.55,0.58,46,2
51,2462347.47,100,1302.23,0.48,0.19,16,0
49,1111934.91,69,382.89,0.92,0.19,110,2
71,2251133.13,12,2016.06,0.07,0.18,16,3
65,690393.32,49,1247.6,0.28,0.06,120,3
42,650796.05,91,1175.81,0.35,0.59,84,1
57,223165.09,51,4803.33,0.78,0.84,29,2
62,1681417.04,44,3119.87,0.99,0.02,92,2
70,1016036.91,80,2828.7,0.24,0.05,8,3
18,2181241.89,58,2137.3,0.87,0.57,88,0
33,1262043.28,80,2201.83,0.83,0.82,3,0
56,2425254.56,50,2750.43,0.22,0.33,89,3
22,585984.96,51,3512.51,0.4,0.35,19,1
39,2191264.44,19,3540.52,0.41,0.6,97,1
46,1975002.6,23,941.3,0.98,0.27,66,0
72,1961666.33,30,2550.55,0.18,0.03,79,3
20,2135240.59,56,2118.59,0.8,0.74,86,0
29,1938406.38,97,4365.58,0.33,0.63,74,1
43,1621617.76,26,3193.95,0.73,0.58,82,2
33,458425.46,25,2709.27,0.42,0.74,22,0
68,226436.52,55,665.43,0.58,0.68,46,3
54,2313992.44,42,3067.63,0.83,0.21,113,2
39,1599128.24,24,674.3,0.8,0.35,91,0
74,2021862.63,33,1752.31,0.87,0.13,13,2
46,1281577.53,55,799.93,0.06,0.13,33,3
31,425674.24,8,3491.16,0.69,0.68,5,0
45,444186.61,59,1110.64,0.14,0.86,90,1
22,1761078.42,75,2020.11,0.42,0.96,77,1
64,1161218.85,96,4488.81,0.55,0.63,27,2
66,621233.11,32,1101.15,0.4,0.18,78,3
47,1305247.18,8,2588.24,0.52,0.11,24,0
63,300891.0,26,2154.43,1.0,0.81,67,2
69,1517632.79,80,188.81,0.14,0.58,111,3
22,782134.5,49,3984.51,0.68,0.62,115,1
29,2024263.89,71,438.32,0.4,0.78,63,0
33,879350.6,90,2423.85,0.13,0.7,113,1
43,1219767.35,70,2847.32,0.16,0.83,94,1
43,177308.27,92,3179.29,0.95,0.06,99,2
65,320250.19,38,3474.29,0.88,0.75,48,2
38,1072359.86,95,1341.03,0.91,0.85,63,0
56,1277856.26,59,148.9,0.99,0.29,78,2
53,1560048.29,5,3644.87,0.21,0.64,12,3
50,835407.06,76,2724.72,0.36,0.31,28,3
47,1783207.43,91,4196.98,0.67,0.96,44,1
54,2171287.63,42,4124.8,0.48,0.03,93,2
40,1982649.82,10,4232.3,0.42,0.58,43,0
75,243104.24,90,2476.96,0.36,0.17,17,3
27,1279191.33,29,1734.78,0.59,0.71,40,0
71,396585.92,86,3978.64,0.58,0.18,49,2
22,718805.79,21,2311.34,0.16,0.24,85,1
53,2468657.09,65,998.87,0.47,0.49,57,0
51,484864.53,16,4289.37,0.55,0.91,87,2
69,1322387.16,10,4424.54,0.57,0.21,84,2
48,1602665.98,94,2384.92,0.21,0.14,64,1
27,1800792.68,31,470.93,0.74,0.76,75,0
75,1465174.41,12,2000.35,0.03,0.5,57,3
36,172961.49,87,4037.33,0.35,0.91,98,1
75,917184.07,69,4518.69,0.78,0.15,74,2
49,1366622.36,61,1097.02,0.56,0.65,74,0
18,356486.27,97,428.17,0.26,0.23,107,1
73,973973.29,44,4399.02,0.69,0.16,70,2
22,228027.31,18,2008.08,0.57,0.68,100,1
62,334659.47,39,2754.63,0.8,0.59,88,2
21,1082769.7,52,4843.52,0.74,0.75,76,1
33,461882.02,88,426.17,0.61,0.31,43,0
41,1483720.99,60,3276.76,0.49,0.45,119,1
33,1770242.68,53,463.12,0.13,0.41,23,0
72,2031378.74,17,1939.8,0.26,0.98,27,3
19,620353.07,65,4038.69,0.42,0.29,58,1
66,543584.07,53,2224.01,0.6,0.29,109,2
45,395734.42,50,4986.19,0.51,0.35,37,1
49,1645611.09,66,2839.39,0.29,0.56,6,3
44,1810217.96,12,1673.69,0.01,0.25,65,3
37,224227.44,47,1178.55,0.5,0.92,6,0
41,2350098.78,24,1817.55,0.29,0.27,50,0
29,272132.52,94,1925.41,0.73,0.9,22,0
67,1422046.39,43,436.7,0.02,0.1,105,3
52,1816292.22,89,1910.91,0.58,0.66,88,2
50,2196777.44,53,2374.77,0.94,0.91,25,0
50,1828104.29,68,3641.41,0.17,0.17,79,1
68,2034061.0,66,3317.97,0.47,0.97,90,3
60,947707.95,58,3572.95,0.09,0.45,72,3
54,2064839.02,13,140.98,0.63,0.95,51,0
29,338269.89,92,1166.57,0.55,0.68,88,1
20,2252819.14,41,3342.25,0.41,0.3,48,0
18,1436842.08,53,2471.55,0.52,0.19,102,1
50,2070649.76,45,126.04,0.9,0.3,70,0
57,1212947.97,21,4042.02,0.2,0.09,118,1
27,1662407.58,92,3886.77,0.02,0.14,99,1
60,1387046.25,25,2787.25,0.86,0.1,106,2
61,1869235.38,55,425.67,0.58,0.42,65,0
46,341830.46,63,3855.92,0.89,0.8,60,2
30,291827.4,43,2960.2,0.6,0.14,46,1
29,730692.6,59,3931.6,0.81,0.13,36,1
48,524930.0,45,3783.56,0.43,0.64,58,1
63,2198691.38,43,4034.71,0.75,0.2,76,2
19,665152.87,17,2638.24,0.91,0.1,38,0
68,2443283.35,68,787.59,0.57,0.17,11,3
67,941705.11,15,3388.67,0.18,0.92,12,3
52,577977.1,23,3140.32,0.27,0.82,42,3
40,2005791.49,15,3737.04,0.2,0.35,114,1
34,1697963.27,81,932.42,0.25,0.66,39,0
43,1320759.93,50,1055.38,0.31,0.54,71,0
25,1455104.34,49,4463.01,0.56,0.68,11,1
46,1840124.18,5,3774.89,0.59,0.68,36,0
43,686868.64,44,4550.32,0.43,0.63,52,1
27,2491384.7,23,3817.71,0.62,0.27,31,0
43,2440763.93,80,3026.06,0.08,0.04,33,3
51,1678265.36,76,3305.25,0.09,0.46,13,3
68,618924.76,76,4456.73,0.17,0.89,18,3
58,1748536.37,65,2936.15,0.52,0.57,41,3
24,319666.26,16,3198.72,0.21,0.83,58,1
21,222033.38,65,866.74,0.28,0.99,56,1
75,755554.79,37,2422.21,0.4,0.16,24,3
70,1237163.95,49,3610.35,0.81,0.69,73,2
67,2190440.39,94,1427.62,0.01,0.67,31,3
62,1858847.31,96,1091.05,0.65,0.98,55,3
28,1895360.32,73,1637.75,0.67,0.99,105,0
46,1149909.34,12,1283.35,0.8,0.69,10,0
73,962947.23,29,1153.07,0.93,0.24,60,2
53,1021941.09,95,2181.77,0.02,0.8,2,3
42,2470976.47,50,4548.41,0.15,0.11,102,1
38,244256.6,91,2584.59,0.89,0.78,15,2
74,2187524.02,34,1020.81,0.46,0.91,3,3
53,1509887.21,51,477.16,0.56,0.38,43,0
27,1180746.24,91,3511.17,0.66,0.63,31,1
54,1854355.5,53,1975.71,0.68,0.43,70,2
26,1293672.01,51,4126.97,0.93,0.44,67,2
41,2202544.61,88,3331.6,1.0,0.31,56,2
52,2266649.38,86,4001.58,0.72,0.76,63,2
66,1141044.18,22,1432.54,0.29,0.94,75,3
52,800545.32,70,3492.56,0.88,0.94,15,2
65,1542023.27,72,1393.9,0.05,0.17,109,3
53,2294053.86,98,4701.44,0.23,0.87,116,1
35,645056.14,37,3218.23,0.9,0.74,92,2
66,1613971.47,40,1690.11,0.26,0.25,10,3
56,1634166.52,86,1420.61,0.22,0.07,38,3
49,1872815.6,23,1035.54,0.14,0.27,47,3
41,459184.06,32,3503.74,0.86,0.91,57,2
40,1832188.67,44,1171.71,0.5,0.63,50,0
49,2286226.42,88,3016.99,0.67,0.72,114,2
54,572255.31,80,1396.71,0.24,0.26,71,3
29,708226.81,19,3343.65,0.76,0.72,15,0
66,2432778.47,45,4093.2,0.76,0.03,18,2
72,575295.84,43,3912.32,0.31,0.38,82,3
30,2157804.97,6,3828.17,0.41,0.63,116,1
40,1306852.96,67,1019.84,0.21,0.15,105,1
42,730993.02,33,533.09,0.98,0.82,88,0
52,2196262.27,78,3524.85,0.65,0.24,2,3
58,1196467.35,70,1904.9,0.93,0.65,104,2
47,1359820.78,55,2218.5,0.3,0.41,84,1
34,994198.42,79,252.63,0.78,0.6,98,0
66,1543434.5,81,1371.92,0.77,0.11,43,2
37,534281.1,14,265.01,0.69,0.02,26,0
65,1069041.61,18,4408.01,0.97,0.91,71,2
42,2428118.96,86,1292.64,0.39,0.27,38,0
39,756613.57,55,2830.95,0.13,0.82,94,1
30,1693331.16,77,291.0,0.67,1.0,42,0
36,914196.65,43,3367.55,0.73,0.21,5,0
66,1967661.85,32,1682.83,0.58,0.27,11,3
53,457553.1,7,4499.8,0.21,0.66,65,3
29,2429079.46,88,4451.78,0.5,0.97,34,1
58,1216405.42,74,1693.92,0.31,0.92,120,3
36,704718.59,31,4514.71,0.43,0.5,1,1
29,322717.36,6,4981.17,0.65,0.8,83,1
26,548931.08,97,4144.54,0.75,0.14,2,1
24,1371468.78,42,4239.87,0.23,0.98,85,1
45,941957.46,7,1320.14,0.41,0.96,20,0
31,2097875.91,20,2925.84,0.27,0.16,61,0
48,1162585.68,98,429.55,0.2,0.3,87,1
69,734478.54,44,565.1,0.78,0.1,21,2
36,1600290.72,6,4994.57,0.91,0.27,88,2
75,1810926.46,85,1700.53,0.37,0.82,68,3
64,542548.48,45,3766.1,0.75,0.38,12,2
33,543905.16,16,4052.66,0.9,0.09,22,2
70,236177.85,39,4304.31,0.85,0.34,20,2
22,1880544.74,69,4988.38,0.18,0.98,82,1
52,1709940.64,59,1283.33,0.96,0.63,1,0
29,1265382.56,49,297.72,0.38,0.42,30,0
42,2133800.56,83,2114.84,0.34,0.17,97,1
69,2043324.86,94,737.4,0.06,0.99,24,3
38,1525582.76,89,209.89,0.49,0.82,14,0
53,2190437.51,66,1866.09,0.11,0.28,36,3
70,633726.84,53,3940.32,0.25,0.07,69,3
40,413011.11,99,2874.29,0.32,0.06,75,1
33,783911.59,29,1632.61,0.81,0.12,24,0
74,284154.11,27,3306.28,0.88,0.58,60,2
56,1398248.39,28,1236.89,0.3,0.93,95,3
62,2351023.38,42,170.47,0.86,0.5,55,0
70,242457.32,32,3845.33,0.86,0.84,77,2
59,436958.3,25,3156.34,0.76,0.45,80,2
75,1212667.72,58,3835.28,0.15,0.71,24,3
56,2344606.29,22,290.8,0.69,0.73,77,0
31,892966.85,40,4201.89,0.95,0.17,24,2
48,1342001.8,49,3135.68,0.68,0.36,54,2
75,247696.22,77,2860.64,0.33,0.64,26,3
22,498606.52,57,3160.61,0.5,0.07,66,1
52,2468580.79,34,4335.72,0.65,0.36,80,2
40,2418028.94,64,2975.99,0.51,0.53,38,0
46,161608.96,36,2946.66,0.12,1.0,110,1
60,2386757.7,71,4954.33,0.31,0.47,65,3
28,1651931.85,71,3807.98,0.8,0.82,113,1
35,2189607.99,32,2267.24,0.86,0.43,75,0
64,1218638.66,48,3566.25,0.14,0.8,51,3
29,1361650.67,83,2007.23,0.95,0.6,35,0
26,1298789.46,45,1221.49,0.33,0.89,43,0
27,1717131.01,67,3024.57,0.66,0.41,29,0
75,478180.45,27,4648.09,0.75,0.6,37,2
61,220437.94,79,4652.78,0.81,0.63,81,2
34,873635.36,52,1775.34,0.95,0.42,58,0
55,1805999.79,36,2685.62,0.31,0.14,54,3
24,624355.61,61,1137.02,0.86,0.09,39,0
63,1732566.22,37,4978.59,0.13,0.02,42,3
30,2429293.31,28,4907.48,0.71,0.87,28,0
57,370666.68,43,3282.59,0.74,0.24,29,2
59,1730614.98,38,4041.63,0.68,0.21,43,2
26,1192813.02,60,3603.99,0.25,0.74,3,1
67,2190134.3,32,3006.48,0.87,0.32,116,2
44,566302.01,41,361.41,0.17,0.51,10,3
75,1777670.99,11,2328.35,0.05,0.16,59,3
19,2119570.93,72,3406.45,0.72,0.96,106,1
22,2369843.42,41,3419.9,0.48,0.85,14,0
46,1755632.87,60,1928.3,0.85,0.86,76,2
54,1318360.7,69,4714.29,0.38,0.41,47,1
55,1601941.01,69,920.05,0.17,0.76,42,3
36,2191926.71,51,2551.76,0.84,0.14,94,2
25,1490932.9,24,3485.33,0.55,0.01,32,0
65,221409.59,23,3515.97,0.19,0.02,32,3
62,2337729.43,33,3278.33,0.72,0.59,42,2
18,1770387.86,78,1448.91,0.51,0.46,32,0
39,1739806.46,64,865.41,0.6,0.52,26,0
69,656836.61,22,3216.11,0.46,0.01,115,2
34,1698380.86,96,3036.58,0.83,0.42,1,0
24,1075581.35,39,978.84,0.83,0.72,56,0
42,1680397.5,47,3555.18,0.71,0.44,106,2
62,400493.62,99,2330.34,0.11,0.73,2,3
21,1695936.47,95,3372.03,0.84,0.23,81,1
53,2498622.26,15,4203.1,0.67,0.81,30,2
23,263298.29,53,931.67,0.7,0.59,120,1
48,2446359.33,42,193.81,0.36,0.21,103,0
36,1106233.71,68,3917.6,0.88,0.24,71,2
61,2196270.61,73,3087.52,0.73,0.63,52,2
71,1988605.89,12,3528.23,0.11,0.83,91,3
56,1482488.21,38,4206.96,0.41,0.42,9,3
44,1885355.64,52,4033.77,0.89,0.26,22,2
27,2214511.57,60,4808.51,0.05,0.87,34,1
43,1099729.76,80,2726.08,0.96,0.67,110,2
36,918527.93,69,2493.63,0.68,0.45,49,1
56,1718844.46,35,2069.25,0.63,0.49,1,0
20,2048437.96,8,853.09,0.27,0.2,73,0
62,1941370.07,54,2905.78,0.25,0.63,84,3
30,2024862.07,73,1457.36,0.94,0.36,53,0
67,1173620.79,34,4614.41,0.3,1.0,83,3
45,2071910.41,92,2957.63,0.78,0.48,100,2
75,432491.28,63,3004.92,0.39,0.49,40,3
37,1429549.38,71,1839.13,0.14,0.57,45,1
45,163532.85,79,354.75,0.01,0.92,68,3
25,912776.7,49,255.54,0.54,0.8,9,0
58,1011184.61,8,2174.34,0.98,0.45,105,2
56,1081005.83,30,514.37,0.37,0.72,22,3
18,1784347.94,31,3073.55,0.36,0.59,18,0
20,1063111.54,50,4416.77,0.34,0.49,76,1
30,1204430.01,68,4426.28,0.52,0.19,106,1
45,708228.71,95,3329.32,0.44,0.46,43,1
74,1027141.71,55,1135.04,0.88,0.25,39,2
66,684083.62,54,4328.68,0.51,0.91,73,2
42,322010.42,10,4441.86,0.51,0.34,6,2
73,1568104.19,63,1063.6,0.14,0.95,83,3
50,1720300.08,19,3713.39,0.98,0.53,48,2
55,1605802.31,34,1503.95,0.25,0.63,111,3
70,1239211.0,46,4032.94,0.07,0.54,7,3
23,1042496.58,41,4986.47,0.66,0.13,80,1
75,2178834.08,46,247.13,0.6,0.38,69,3
61,1369842.2,39,4497.09,0.42,0.1,16,3
62,1276077.41,91,3150.89,0.42,0.62,1,3
49,210258.85,10,4869.57,0.79,0.45,115,2
62,951932.39,72,2378.55,0.2,0.78,37,3
64,1043459.7,22,4252.2,0.82,0.22,103,2
38,1087233.54,77,405.73,0.65,0.16,83,0
33,1513405.07,33,1742.87,0.42,0.41,118,1
71,1403965.98,81,428.38,0.46,0.93,37,3
38,1578576.97,63,4879.18,0.26,0.71,81,1
28,1947475.66,51,4103.17,0.75,0.42,64,1
54,2060516.49,21,4277.48,0.51,0.52,90,2
53,1837589.23,100,4696.03,0.32,0.08,86,1
52,2395480.69,26,517.01,0.6,0.98,62,0
36,192846.57,72,1989.43,1.0,0.67,72,2
37,610078.27,73,448.07,0.44,0.29,61,0
74,167772.76,41,1132.89,0.92,0.59,33,2
35,1671565.58,53,1223.89,0.35,0.11,66,0
64,2260371.79,17,2398.63,0.05,0.97,30,3
58,722183.4,38,1415.95,0.2,0.17,111,3
66,2328531.18,90,594.79,0.42,0.65,20,3
31,291628.37,57,920.71,0.22,0.25,60,1
32,2345924.66,91,821.65,0.0,0.72,82,1
48,976313.32,55,4868.08,0.92,0.78,107,2
18,388338.95,7,3820.53,0.84,0.67,74,2
70,1291798.63,46,4842.03,0.74,0.61,24,2
71,753424.93,36,2254.73,0.17,0.89,120,3
71,819451.32,55,1464.01,0.12,0.08,4,3
20,872131.42,89,4011.64,0.07,0.33,37,1
33,2037110.86,50,1698.64,0.72,0.25,4,0
40,1417029.0,25,1566.98,0.93,0.99,77,0
74,881573.09,48,1239.28,0.43,0.39,89,3
28,1584284.39,15,735.43,0.12,0.73,77,0
29,1832954.08,72,1356.67,0.51,0.68,18,0
27,790666.4,5,1841.07,0.35,0.21,88,0
49,1121840.39,96,3402.57,0.37,0.24,66,1
33,436432.32,67,406.57,0.62,0.28,48,0
25,575700.97,28,1131.48,0.72,0.41,33,0
55,1750626.96,17,4064.22,0.11,0.23,58,3
29,576380.12,15,819.92,0.04,0.02,83,1
41,1384133.95,55,1778.96,0.99,0.88,73,0
45,1816258.72,21,4336.83,0.23,0.97,28,3
70,401160.77,86,859.13,0.05,0.34,35,3
25,1483183.72,90,505.41,0.19,0.34,103,1
75,752922.54,28,2474.24,0.04,0.01,10,3
45,2412878.16,23,1581.86,0.39,0.68,65,0
53,1286332.27,41,2860.7,0.8,0.83,42,2
43,2044082.49,89,4038.64,0.34,0.15,85,1
25,1443032.37,12,772.03,0.44,0.16,9,0
75,252019.45,32,2945.43,0.68,0.79,60,2
67,1637905.73,9,2576.99,0.51,0.62,111,2
45,2385797.85,21,805.99,0.86,0.04,15,0
45,1563787.78,40,3157.59,0.87,0.62,99,2
54,2075093.82,23,1440.84,0.01,0.31,57,3
58,2227885.19,68,2490.39,0.78,0.37,69,2
53,685987.46,95,503.13,0.46,0.77,105,1
44,648305.37,15,2351.96,0.99,0.81,22,0
71,1585805.32,58,1601.67,0.48,0.4,64,3
34,1115916.9,49,4129.67,0.99,0.95,41,2
26,2123674.06,51,379.2,0.75,0.41,87,0
50,2265054.34,16,2151.18,0.25,0.77,71,3
70,980540.24,25,2346.31,0.54,0.48,56,2
37,706645.81,15,3652.53,0.99,0.9,23,2
30,1984234.96,96,2914.01,0.86,0.91,108,1
45,795794.18,9,3369.34,0.1,0.09,25,3
65,2083143.65,85,3907.54,0.71,0.94,91,2
46,1145784.9,60,4324.79,0.35,0.83,105,1
30,1718742.26,24,1637.99,0.01,0.79,6,0
63,374507.99,45,2736.31,0.4,0.2,119,2
52,1616069.41,50,4216.53,0.23,0.81,34,3
23,1211654.05,16,4948.31,0.82,0.85,63,2
35,1528529.89,74,4458.64,0.34,0.29,9,1
68,544833.39,21,1920.19,0.83,0.95,60,2
22,1881653.3,23,1056.32,0.0,0.05,49,0
64,2177573.13,30,2498.02,0.31,0.15,97,3
42,659338.53,52,3734.04,0.24,0.54,51,1
19,374929.21,56,2513.59,0.23,0.58,60,1
27,205550.68,100,2467.59,0.07,0.65,70,1
73,1658633.03,74,4207.33,0.19,0.02,37,3
47,1576670.98,59,1870.88,0.56,0.96,31,0
67,1434738.92,79,4312.99,0.29,0.04,98,1
62,695075.68,37,2093.34,0.42,0.14,41,3
22,1068629.09,66,1708.34,0.38,0.01,62,1
72,1547019.39,92,2324.55,0.88,0.57,93,2
73,1317402.12,27,3835.99,0.91,0.93,58,2
50,2471295.97,19,717.41,0.49,0.67,14,0
71,470633.42,31,1062.45,0.33,0.82,36,3
18,1783589.7,79,4762.08,0.11,0.01,36,1
35,1100149.11,68,959.91,0.95,0.54,117,2
49,1156269.1,85,2881.86,0.06,0.46,79,1
64,1836354.75,55,2938.64,0.3,0.5,8,3
66,1777224.96,57,2499.16,0.3,0.07,26,3
28,2479451.59,82,3259.25,0.32,0.68,36,1
38,451726.58,95,1226.15,0.16,0.5,48,1
43,394657.68,86,2808.05,0.78,0.77,85,2
42,1852196.22,96,1923.65,0.12,0.49,28,3
39,1509209.25,55,3342.17,0.63,0.15,68,1
44,794277.57,51,792.0,0.12,0.65,62,3
66,336635.52,8,2897.3,0.07,0.17,80,3
30,351296.89,11,1007.82,0.91,0.87,86,0
50,2251348.56,39,1465.35,0.19,0.61,76,3
51,600888.21,52,1171.68,0.82,0.16,80,2
58,909923.17,77,995.91,0.54,0.96,51,3
52,682642.55,76,4145.98,0.08,0.52,104,1
18,984241.32,49,1499.97,0.96,0.07,102,0
38,313146.03,85,4642.91,0.25,0.63,42,1
65,1369790.51,85,4852.64,0.86,0.25,101,2
72,308889.52,100,2899.18,0.17,0.8,29,3
23,2030837.79,76,800.71,0.85,0.82,82,0
45,699223.39,23,1935.29,0.01,0.98,10,3
34,1419028.0,67,4008.89,0.51,0.5,106,1
22,2218185.86,42,1900.21,0.77,0.45,39,0
48,1679561.82,71,526.38,0.93,0.75,82,0
22,1402450.8,63,2828.25,0.91,0.13,1,0
55,912184.32,73,4241.09,0.82,0.55,39,2
20,932554.5,17,4000.04,0.89,0.55,21,0
70,1723294.34,51,958.1,0.2,0.09,65,3
40,2486227.5,65,3396.55,0.28,0.42,15,3
54,1705322.1,35,1180.47,0.29,0.85,4,3
70,1460791.03,84,1169.22,0.38,0.86,60,3
54,1867028.7,100,4382.95,0.39,0.1,61,1
27,1243233.19,26,1323.38,0.54,0.09,20,0
27,291334.51,97,1389.91,0.16,0.26,10,1
36,1471397.52,90,103.2,0.69,0.87,87,0
34,2400419.42,47,4366.28,0.17,0.13,105,1
38,561961.91,71,3983.71,0.31,0.72,34,1
31,1771511.49,58,3173.91,0.5,0.1,110,1
26,622194.17,14,3776.3,0.8,0.62,48,2
63,1409195.06,46,845.04,0.74,0.36,33,0
18,377189.66,68,2345.79,0.65,0.79,98,1
68,1208371.7,25,1820.97,0.16,0.23,103,3
62,1926983.82,84,559.5,0.55,0.64,61,3
30,966793.08,80,2482.04,0.09,0.24,10,1
21,1712542.55,70,4611.62,0.38,0.71,54,1
18,2019307.41,45,296.29,0.41,0.87,84,0
66,2328867.88,28,1528.16,0.04,0.13,65,3
57,701408.89,39,1116.95,0.27,0.87,77,3
49,1088392.4,60,1266.92,0.96,0.59,1,0
51,508177.63,34,4551.33,0.95,0.13,5,2
45,2482336.23,61,2393.54,0.35,0.43,80,3
48,2328452.27,98,2384.87,0.04,0.16,15,3
25,1418899.26,51,3826.82,0.18,0.7,113,1
56,2128778.24,39,857.01,0.39,0.76,28,3
43,1374251.25,23,2487.6,0.95,0.11,95,2
75,1615426.37,12,2206.93,0.14,0.51,23,3
51,359442.42,30,3024.86,0.76,0.81,112,2
71,1924885.49,75,4997.83,0.11,0.94,109,3
71,450126.69,34,3870.3,0.98,0.51,107,2
20,2091258.93,11,2049.54,0.38,0.95,17,0
67,1987766.01,71,4155.01,0.78,0.54,113,2
29,1815550.04,69,936.47,0.34,0.39,98,1
18,234976.89,40,249.27,0.63,0.85,13,0
71,862351.64,29,1101.8,0.19,0.49,14,3
61,768314.54,41,1768.02,0.15,0.47,11,3
22,996320.56,5,2601.85,0.94,0.49,28,0
47,355960.45,19,3114.13,0.92,0.85,42,2
47,2351850.88,41,4561.97,0.89,0.83,96,2
74,1451435.27,17,2598.28,0.63,0.4,99,2
34,867982.13,12,2556.25,0.81,0.33,61,0
65,1082906.57,9,346.19,0.07,0.49,64,3
64,1200925.97,64,271.07,0.33,0.57,31,3
40,1561396.68,77,2800.68,0.31,0.24,81,1
32,1361846.66,5,2247.08,0.64,0.79,111,0
54,2310571.14,40,4211.98,0.36,0.49,73,3
38,1317864.18,39,887.33,0.15,0.33,10,0
31,2481571.33,70,222.36,0.6,0.11,8,0
19,2150848.65,67,2300.29,0.81,0.24,21,0
28,639999.71,27,1263.64,0.38,0.95,77,0
68,2336898.75,13,343.11,0.13,0.31,59,3
56,423461.04,38,3650.53,0.2,0.17,50,3
55,2071006.81,50,646.81,0.24,0.46,69,3
51,1044464.74,82,3080.77,0.3,0.31,70,1
55,2213239.65,8,1477.14,0.64,0.04,30,0
67,2189933.22,34,950.13,0.6,0.32,95,2
51,2043924.69,99,1960.78,0.7,0.54,17,0
35,2006571.53,79,4027.08,0.36,0.55,75,1
47,865995.98,76,2021.26,0.82,0.36,20,0
32,340160.32,7,3778.77,0.2,0.45,48,1
44,1097003.42,18,714.88,0.47,0.97,73,0
68,557782.61,64,3886.58,0.8,0.38,2,2
51,1783135.06,81,1260.97,0.18,0.26,37,3
69,963334.36,49,3419.23,0.11,0.24,1,3
74,2442683.97,100,2872.33,0.88,0.46,4,2
55,1656284.38,38,4652.81,0.34,0.76,100,1
50,2082829.32,49,1997.88,0.68,0.21,54,0
41,461432.98,65,424.21,0.03,0.71,25,3
32,2175734.03,87,193.86,0.69,0.02,3,0
47,2318479.4,20,4151.61,0.32,0.42,9,3
72,1294595.51,70,2671.2,0.06,0.78,86,3
59,1574694.4,44,3898.7,0.61,0.34,87,2
68,1947303.03,21,1248.69,0.24,0.56,76,3
34,560870.77,38,1790.91,0.39,0.2,74,1
22,1331030.28,20,247.51,0.08,0.74,34,0
46,1086858.12,64,4811.31,0.15,0.05,43,1
21,493978.88,70,3372.55,0.3,0.85,74,1
27,1013705.89,70,4672.7,0.09,0.2,94,1
73,310204.93,94,1400.93,0.91,0.87,22,2
34,210657.98,17,3096.17,0.01,0.35,70,1
27,467640.78,60,3424.65,0.48,0.72,114,1
34,2413320.51,35,1655.99,0.12,0.32,2,0
37,1441394.41,38,4255.74,0.31,0.91,94,1
41,2419682.08,43,4741.09,0.93,0.13,66,2
22,1166370.01,71,4435.79,0.16,0.18,32,1
51,882767.91,12,3721.43,0.97,0.49,106,2
23,1339433.38,91,1459.58,0.21,0.08,16,1
70,1182852.47,82,1479.92,0.74,0.2,76,2
19,398312.01,59,4820.47,0.55,0.94,1,1
30,1655941.84,31,150.39,0.88,0.98,117,0
60,657689.73,97,3608.64,0.55,0.38,72,2
60,1606031.69,57,3560.61,0.53,0.92,48,3
65,1677972.57,43,3151.18,0.2,0.54,50,3
28,507258.4,69,4951.53,0.17,0.27,13,1
68,294171.62,21,1628.21,0.92,0.7,15,2
64,1984789.73,34,1765.86,0.33,0.66,53,3
74,1230531.0,57,486.8,0.37,0.99,44,3
40,286684.92,17,2269.71,0.76,0.27,8,0
72,2487935.85,25,1379.14,0.34,0.67,74,3
33,285784.32,23,1782.59,0.95,0.05,46,0
48,1783332.79,57,4189.4,0.74,0.11,69,2
28,2461645.47,23,4683.87,0.6,0.0,114,1
71,712073.24,61,1010.09,0.88,1.0,19,2
33,484286.02,29,1925.29,0.05,0.8,111,1
25,435254.61,90,4650.29,0.26,0.79,38,1
21,862696.6,35,402.86,0.47,0.51,11,0
57,387457.66,85,552.57,0.23,0.3,117,1
21,1776579.15,59,897.68,0.74,0.15,43,0
73,296385.73,27,3016.54,0.92,0.28,20,2
42,1347142.0,36,837.31,0.42,0.38,20,0
20,2492237.61,66,4843.57,0.34,0.76,21,1
